subject	BIDS check	fmriprep check	Anat	epi_r1	sdc_r1	epi_r2	sdc_r2	epi_r3	sdc_r3	epi_r4	sdc_r4	From TSV Files	fd_r1	min_r1	max_r1	mcflirt_3mm_r1	fd_r2	min_r2	max_r2	mcflirt_3mm_r2	fd_r3	min_r3	max_r3	mcflirt_3mm_r3	fd_r4	min_r4	max_r4	mcflirt_3mm_r4	FSL Level 1	activation_r1	activation_r2	activation_r3	activation_r4	FINAL CHECK	Intials
sub-001	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.0389432	0.9372651	pass	pass	0.03128807000000002	1.49291285	pass	pass	0.0214862	0.8649215249999999	pass	pass	0.03668640519999994	1.3151153	pass	--						
sub-002	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.029951600000000005	0.5827349650000001	pass	pass	0.03363856999999998	0.34975680000000003	pass	pass	0.015229422999999997	0.49171099999999995	pass	pass	0.0419083	0.7018575100000001	pass	--						
sub-003	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.028813149999999992	0.56679505	pass	pass	0.009841725000000008	0.44072429999999996	pass	pass	0.029835299999999995	0.64238855	pass	pass	0.035671490000000014	0.4705076	pass	--						
sub-004	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.021921300000000005	1.7663942500000005	pass	pass	0.028897504999999993	1.0204890394	pass	pass	0.02612310000000001	1.3886619999999998	pass	pass	0.02413449999999999	0.88134345	pass	--						
sub-005	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.008252799999999998	0.590167	pass	pass	0.011320350000000009	0.9277345350000002	pass	pass	0.0055874999999999606	0.6005725900000001	pass	pass	0.021200700000000017	0.6759881999999999	pass	--						
sub-006	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.0704487	1.335473	pass	pass	0.029587999999999975	1.9039556	pass	pass	0.032128099999999944	7.621521199999997	fail	pass	0.029703109999999994	2.80010565	pass	--						
sub-007	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.04901875000000002	0.7628216999999999	pass	pass	0.033552599999999995	0.5593315	pass	pass	0.042508150000000015	0.6948820000000001	pass	pass	0.036949595	0.79849265	pass	--						
sub-008	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.028243720999999968	1.0490341	pass	pass	0.01455504	0.6640890899999999	pass	pass	0.014609770000000022	1.90630125	pass	pass	0.016623299999999987	1.6027597999999998	pass	--						
sub-009	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.02356890000000001	0.4493356	pass	pass	0.036104699999999997	0.5241034999999999	pass	pass	0.01627381	0.4909508500000001	pass	pass	0.032103062	0.40075375	pass	--						
sub-010	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.035154099999999994	0.9139508499999998	pass	pass	0.015085700000000004	0.4829866	pass	pass	0.03281949999999998	0.5860455	pass	pass	0.038842699999999994	0.59567318	pass	--						
sub-011	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.03376165000000012	0.5003655	pass	pass	0.02478820000000001	0.51760756	pass	pass	0.003769199999999999	0.42362690000000003	pass	pass	0.040098650000000007	1.7413179000000003	pass	--						
sub-012	y	--	good	good		good		good		good		--	pass	0.040266199999999995	0.60630303	pass	pass	0.03972109	0.4890462900000001	pass	pass	0.01640699999999997	0.33826657599999993	pass	pass	0.029299449999999987	0.6583872	pass	--						
sub-013	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.016520999999999987	0.358003	pass	pass	0.01848055	0.23974431	pass	pass	0.02734805	0.5638905999999999	pass	pass	0.02776967000000001	0.275122324	pass	--						
sub-014	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.03235257999999998	0.66034595	pass	pass	0.031334899999999964	0.3941805350000001	pass	pass	0.004421155	0.5758052	pass	pass	0.024184250000000008	0.3698639	pass	--						
sub-015	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.029126509999999987	0.8561834	pass	pass	0.036769	0.92115193	pass	pass	0.03649119000000002	0.8600825000000001	pass	pass	0.04604480000000016	1.2160741000000002	pass	--						
sub-016	y	--	good									--	pass	0.021526300000000026	0.7449449999999999	pass	pass	0.0310046	0.5539105499999999	pass	pass	0.01719697500000001	0.572795835	pass	pass	0.0196140395	0.6613686700000001	pass	--						
sub-017	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.014822459999999978	0.33159099999999997	pass	pass	0.02475596	0.37978809999999996	pass	pass	0.027631609799999998	0.44530885	pass	pass	0.01845762	0.42749598	pass	--						
sub-018	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.020042700000000028	0.9206359000000001	pass	pass	0.013081500000000029	0.9015715	pass	pass	0.012682130000000008	0.68523162	pass	pass	0.016926190000000032	1.0810108500000002	pass	--						
sub-019	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.019284800000000008	0.83441945	pass	pass	0.03790324999999997	1.171135355	pass	pass	0.01970175	0.91260815	pass	pass	0.02598245	0.747664	pass	--						
sub-020	y	--	good									--	pass	0.020360049999999984	0.7884068999999999	pass	pass	0.0190172	0.9047063500000002	pass	pass	0.02017297	1.7242459999999995	pass	pass	0.01283857	0.28620144	pass	--						
sub-021	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.030465217999999995	1.0428238500000002	pass	pass	0.02939945000000001	0.39846603	pass	pass	0.016169515000000002	0.48562725	pass	pass	0.015426199999999987	0.8961079899999999	pass	--						
sub-022	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.021309369999999987	0.4488087000000001	pass	pass	0.03759276	0.55689731	pass	pass	0.029590049999999982	0.540567	pass	pass	0.026789499999999997	0.34118746	pass	--						
sub-023	y	--	good	good	good	good	good	good	good	good	good		pass	0.007537700000000052	0.40604588	pass	pass	0.017711099999999997	0.56463916	pass	pass	0.013870029999999985	0.40403675	pass	pass	0.02561956499999997	0.5935101500000001	pass	--						
sub-024	y	--	good									--	pass	0.013828880000000005	0.31328825000000005	pass	pass	0.019388900000000004	0.23522413	pass	pass	0.028599599437705008	0.24012458	pass	pass	0.01875401500000001	0.205198995	pass	--						
sub-025	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.033444500000000064	1.1723415000000001	pass	pass	0.028636899999999983	1.3037082000000002	pass	pass	0.0143864	1.35565146	pass	pass	0.007594670000000011	1.3119687	pass	--						
sub-026	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.01289069999999994	0.907611305	pass	pass	0.028952849999999964	1.0379554	pass	pass	0.010964050000000005	0.7259514	pass	pass	0.0443096	0.9112092100000002	pass	--						
sub-027	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.011771068999999992	0.344827165	pass	pass	0.022651499999999998	0.39808234	pass	pass	0.020201999999999973	0.54599618	pass	pass	0.018273169	0.27365907	pass	--						
sub-028	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.01892199000000001	0.43421329999999997	pass	pass	0.03724664	0.7048094500000001	pass	pass	0.00983153	0.4621593000000001	pass	pass	0.028727550999999955	0.5946573685000001	pass	--						
sub-030	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.03399724999999997	0.9149888	pass	pass	0.03775739999999997	0.5760586099999999	pass	pass	0.030880999999999995	0.6550149000000001	pass	pass	0.030309399999999955	0.5092287000000001	pass	--						
sub-031	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.0425765	1.8108090000000001	pass	pass	0.026787500000000082	1.56955376	pass	pass	0.025929949999999983	1.46699875	pass	pass	0.03140182000000001	0.8492153299999999	pass	--						
sub-032	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.028304414000000007	0.5581567000000001	pass	pass	0.010035099999999988	0.43087267	pass	pass	0.00740055	0.40641900000000003	pass	pass	0.01352058	0.5164982450000001	pass	--						
sub-033	y	--	good									--	pass	0.017534851299999998	0.3978547	pass	pass	0.013785500000000004	0.33616725	pass	pass	0.01516790499999999	0.5566118	pass	pass	0.031066599999999944	0.6616291000000001	pass	--						
sub-034	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.03877473008736999	1.7747465	pass	pass	0.035292915000000015	1.056177935	pass	pass	0.016549700000000004	0.80054165	pass	pass	0.0490592	2.812073455	pass	--						
sub-035	y	--										--	pass	0.0462282103	0.7344699999999998	pass	pass	0.05606025999999998	0.7576897099999998	pass	pass	0.02103704	0.6276510000000001	pass	pass	0.03926650000000007	1.9865138	pass	--						
sub-036	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.030572078189999987	0.65407855	pass	pass	0.02775310000000004	3.381828500000001	fail	pass	0.033474050000000005	2.4740214499999995	pass	pass	0.028998500000000007	0.7861080400000001	pass	--						
sub-037	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.010333750000000008	0.4481396200000001	pass	pass	0.01860700000000004	0.42567741066	pass	pass	0.017040769732593997	0.2320631000000001	pass	pass	0.02479509999999996	0.4000835	pass	--						
sub-038	y	--										--	pass	0.0201848	1.1069653999999998	pass	pass	0.022465799999999963	0.6584026900000001	pass	pass	0.03066599999999999	0.50596134	pass	pass	0.019447899999999976	0.581280815	pass	--						
sub-039	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.035586500000000035	2.7696940000000003	pass	pass	0.04144455000000018	2.6794583999999997	pass	pass	0.029489300000000006	2.8888739999999995	pass	pass	0.04671740000000001	1.47024861	pass	--						
sub-040	y	--	good		good	good	good	good	good	good	good	--	pass	0.029250809140782992	4.9591335	fail	pass	0.016921699999999994	0.42263778	pass	pass	0.015281700000000025	0.4489338	pass	pass	0.03093474999999997	0.5377715000000001	pass	--						
sub-041	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.012627649999999971	0.5976194949999999	pass	pass	0.02099045	0.45675147	pass	pass	0.02623955	0.43631135	pass	pass	0.01215029	0.4948025	pass	--						
sub-042	y	--	good		poor	check	good	check	good	check	good	--	pass	0.020625499999999984	1.103338	pass	pass	0.011785599999999988	1.2636372400000002	pass	pass	0.0066379050000000255	0.6078849500000001	pass	pass	0.010180899999999968	0.31824085	pass	--						
sub-043	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.026689049999999964	0.29127366	pass	pass	0.0160006	0.36172129999999997	pass	pass	0.02003650000000001	0.60164635	pass	pass	0.01880608	0.5758509	pass	--						
sub-044	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.018347849999999985	0.5025025499999999	pass	pass	0.011530649999999995	0.3284828750000001	pass	pass	0.01736171500000001	0.35772395	pass	pass	0.02410870000000001	0.38988608	pass	--						
sub-045	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.01370515	1.069199	pass	pass	0.019254730000000005	1.50849265	pass	pass	0.013551209999999996	0.38359274	pass	pass	0.022944569999999987	1.02900045	pass	--						
sub-046	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.038668499999999946	0.9006330000000001	pass	pass	0.042506665000000006	0.48512243	pass	pass	0.02722804	1.6032494999999998	pass	pass	0.03242281	0.46278981	pass	--						
sub-048	y	--	good	good	good	good	good	good	good			--	pass	0.04125485	0.40247653	pass	pass	0.02608940000000001	0.7172729	pass	pass	0.0303772	0.7318328000000001	pass					--						
sub-050	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.026575	0.3447918942	pass	pass	0.0223191	0.36529295	pass	pass	0.03735489999999999	0.39807455	pass	pass	0.02427580000000001	0.3275794	pass	--						
sub-051	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.01499449999999995	0.18650360000000002	pass	pass	0.008702200000000009	0.17274588	pass	pass	0.016044600000000006	0.41870755	pass	pass	0.013951200000000004	0.41797125	pass	--						
sub-052	y	--	good									--	fail	0.0476405	1.6490945	pass	fail	0.061284930000000015	1.20055895	pass	fail	0.03909101500000002	1.24138122	pass	fail	0.07149155000000001	1.2685143499999998	pass	--						
sub-053	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.016045600000000004	0.738837	pass	pass	0.01881320000000001	0.37011445	pass	pass	0.016951500000000005	0.39278215	pass	pass	0.015380199999999969	0.2601164645	pass	--						
sub-054	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.04396000000000026	2.1212120999999997	pass	pass	0.0379039	1.190272532	pass	pass	0.022966099999999996	0.7248823999999999	pass	pass	0.04495878499999999	0.6481561	pass	--						
sub-055	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.03032619	0.3746831	pass	pass	0.028434585000000005	0.4735473400000001	pass	pass	0.0107479	0.26742698	pass	pass	0.02003817	0.2708201100000001	pass	--						
sub-056	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.014256100000000002	0.35694096	pass	pass	0.010409800000000068	0.35974597	pass	pass	0.01862911291943	0.389437	pass	pass	0.02529615000000001	0.3652958299999999	pass	--						
sub-057	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.04668155000000001	0.7824142	pass	pass	0.02175965	0.77855249	pass	pass	0.032421400000000065	0.4719628999999999	pass	pass	0.033030756999999994	0.7869786	pass	--						
sub-058	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.019680990000000016	0.34787681000000004	pass	pass	0.003564930000000001	0.47072246700000003	pass	pass	0.008165990000000005	0.2818892885	pass	pass	0.0052764000000000075	0.317935475	pass	--						
sub-059	y	--	good	good	good	good	good	missing	good	missing	good	--	pass	0.04334666000000001	1.6671526	pass	pass	0.03715998000000001	1.15311569	pass	pass	0.017436049999999974	1.11796485	pass	pass	0.037995899999999985	1.030591534	pass	--						
sub-060													pass	0.01842885000000001	0.9650072000000001	pass	pass	0.04716015999999997	0.9040331999999998	pass															
sub-061	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.0270539	1.0833628	pass	pass	0.028697599999999983	0.6071842	pass	pass	0.02145283	0.63285886	pass	pass	0.011372929999999988	0.5513398	pass	--						
sub-062	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.0251297	0.34630370000000005	pass	pass	0.023285149999999977	0.476734	pass	pass	0.015761919999999995	0.4627672000000001	pass	pass	0.012541899999999993	0.53769686	pass	--						
sub-063	y	--	good									--	pass	0.028090020000000045	1.0376185000000002	pass	pass	0.04313866	0.45238885	pass	pass	0.04897969999999999	1.1646775	pass	pass	0.00572425000000008	1.3531975000000005	pass	--						
sub-064	y	--	good	good	check	good	check	good	check	good	check	--	pass	0.007760200000000006	0.50587464	pass	pass	0.02843651000000005	0.5064405000000001	pass	pass	0.02386635	0.5280092	pass	pass	0.012745500000000031	0.3321225	pass	--						
sub-065	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.03217390000000005	0.56676683	pass	pass	0.008373799999999997	0.5466121800000001	pass	pass	0.014770409999999998	1.40421935	pass	pass	0.0150628	0.823857	pass	--						
sub-066	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.0206102	0.5511109999999999	pass	pass	0.020938499999999985	0.377684	pass	pass	0.012966899999999984	0.29954455	pass	pass	0.017470849999999982	0.30286823	pass	--						
sub-067	y	--	good	check	good	good	good	good	good	good	good	--	pass	0.03582913999999998	1.19750005	pass	pass	0.06476992999999999	0.7973648500000001	pass	pass	0.03869045	0.9757493	pass	pass	0.0718492	1.2347604	pass	--						
sub-068	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.009147200000000001	0.25361782	pass	pass	0.010391099999999992	0.28172897350000004	pass	pass	0.012516149999999974	0.4165675999999999	pass	pass	0.010668850000000023	1.1023290000000001	pass	--						
sub-070	y	--	good	good	good	good	good	good	good	good	good	--	fail	0.059533400000000014	5.966343000000001	fail	pass	0.02200110000000001	2.5147089000000005	pass	pass	0.04536695	3.4546975	fail	pass	0.033688320000000015	2.4541565000000003	pass	--						
