StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,participantID,bevshop_number,bevshop_hungry_1,bevshop_full_1,bevshop_thirsty_1,bevshop_nauseous_1,bevshop_pleasant_1,bevshop_desirable_1,bevshop_sweet_1,bevshop_intense_1,bevshop_bitter_1,bevshop_complete,bevshop_returned,bevshop_returned,bevshop_given,bevshop_paid
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Participant ID (bbx_###),Bev Shop Visit,How hungry are you right now?,How full are you right now?,How thirsty are you right now?,How nauseous are you right now?,How pleasant is this beverage?,How desirable is this beverage?,How sweet is this beverage?,How intense is the flavor of this beverage?,How bitter is this beverage?,Taste test completed?,Number of empty bottles returned,"Does this include today's bottle, or did the participant choose to finish their beverage at home?",Number of bottles given (not including today's bottle),Participant Paid?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID85_TEXT""}","{""ImportId"":""QID191""}","{""ImportId"":""QID179_1""}","{""ImportId"":""QID180_1""}","{""ImportId"":""QID181_1""}","{""ImportId"":""QID182_1""}","{""ImportId"":""QID103_1""}","{""ImportId"":""QID153_1""}","{""ImportId"":""QID155_1""}","{""ImportId"":""QID156_1""}","{""ImportId"":""QID196_1""}","{""ImportId"":""QID188""}","{""ImportId"":""QID193_TEXT""}","{""ImportId"":""QID216""}","{""ImportId"":""QID194_TEXT""}","{""ImportId"":""QID185""}"
2018-02-27 13:23:00,2018-02-27 13:23:33,IP Address,152.23.40.245,100,33,True,2018-02-27 13:23:34,R_3im83Q0uk12ZhRd,,,,,36.052505493164,-79.107696533203,anonymous,EN,test,Visit #1,7,-44,-33,27,-55,-52,45,12,-39,Yes,1,,1,Yes
2018-02-27 13:23:37,2018-02-27 13:25:05,IP Address,152.23.40.245,100,87,True,2018-02-27 13:25:06,R_1FEXlIbady3duwm,,,,,36.052505493164,-79.107696533203,anonymous,EN,test,Visit #5,-54,-56,46,-22,21,22,-26,42,42,No,1,,1,No
2018-02-27 13:25:09,2018-02-27 13:25:52,IP Address,152.23.40.245,100,43,True,2018-02-27 13:25:53,R_cNk0sFjJqkIKhyh,,,,,36.052505493164,-79.107696533203,anonymous,EN,test,Visit #5,24,34,35,30,27,32,40,19,16,,,,,
2018-03-26 09:21:19,2018-03-26 09:31:39,IP Address,152.23.86.81,100,619,True,2018-03-26 09:31:40,R_2OVmpKwUxjq0pOy,,,,,36.052505493164,-79.107696533203,anonymous,EN,bbx_001,Visit #1,-74,66,-100,-100,21,20,21,18,-59,Yes,0,,1,No
2018-03-28 09:51:35,2018-03-28 10:33:17,IP Address,152.23.64.253,100,2501,True,2018-03-28 10:33:17,R_2qpUTs5Ci2QkV4s,,,,,36.052505493164,-79.107696533203,anonymous,EN,bbx_001,Visit #2,-83,66,-86,-100,-16,-24,-23,13,17,Yes,2,,0,No
2018-03-28 13:55:17,2018-03-28 14:03:54,IP Address,152.23.213.32,100,516,True,2018-03-28 14:03:54,R_XNGMtgWNcl8nxhn,,,,,36.052505493164,-79.107696533203,anonymous,EN,bbx_002,Visit #1,-25,42,27,-100,18,20,15,23,-41,Yes,1,,0,No
2018-03-29 08:11:33,2018-03-29 09:17:45,IP Address,152.23.86.81,100,3972,True,2018-03-29 09:17:46,R_0un1z4mGEZGNKxP,,,,,36.052505493164,-79.107696533203,anonymous,EN,BB001,Visit #3,-93,79,-78,-100,10,9,6,10,7,Yes,1,,3,Yes
2018-03-29 13:51:56,2018-03-29 13:55:36,IP Address,152.23.213.32,100,220,True,2018-03-29 13:55:37,R_1g7aEUjRHK7a1cH,,,,,36.052505493164,-79.107696533203,anonymous,EN,bbx_002,Visit #2,36,17,21,-95,17,19,6,5,-27,Yes,1,,3,No
